NS ColMember_1.
    ElemID              NF [N]              My [Nmm]            Mz [Nmm]            Vy [N]              Vz [N]              T [N/mm]            Y_LOC   
    ElemID              NF [N]              My [Nmm]            Mz [Nmm]            Vy [N]              Vz [N]              T [N/mm]            Y_LOC   
         43.      0.11330334E+06     -0.36003112E+06     -0.78807425E+06      0.40393427E+03      0.16387654E+04      0.18849944E+06      0.40700000E+03
         44.      0.11330337E+06     -0.34775631E+06     -0.79112956E+06      0.41124103E+03      0.16354971E+04      0.18849944E+06      0.40700000E+03
NS ColMember_6.
    ElemID              NF [N]              My [Nmm]            Mz [Nmm]            Vy [N]              Vz [N]              T [N/mm]            Y_LOC   
         45.     -0.23518598E+06     -0.60718855E+05     -0.79055575E+06      0.45601923E+03     -0.10596206E+04      0.14982061E+06      0.40596580E+04
         46.     -0.23518602E+06     -0.68000539E+05     -0.79364156E+06      0.44201041E+03     -0.10584902E+04      0.14982061E+06      0.40596580E+04
         47.     -0.23518605E+06     -0.75274016E+05     -0.79663088E+06      0.42794797E+03     -0.10572311E+04      0.14982061E+06      0.40596580E+04
NS ColMember_7.
    ElemID              NF [N]              My [Nmm]            Mz [Nmm]            Vy [N]              Vz [N]              T [N/mm]            Y_LOC   
         48.      0.10080527E+06      0.27822281E+06     -0.40624675E+06     -0.28032722E+04      0.36433066E+03      0.15311469E+06      0.40596580E+04
         49.      0.10080534E+06      0.28073303E+06     -0.38699119E+06     -0.28002869E+04      0.36647214E+03      0.15311469E+06      0.40596580E+04
         50.      0.10080541E+06      0.28325809E+06     -0.36775566E+06     -0.27974463E+04      0.36863248E+03      0.15311469E+06      0.40596580E+04
NS ColMember_8.
    ElemID              NF [N]              My [Nmm]            Mz [Nmm]            Vy [N]              Vz [N]              T [N/mm]            Y_LOC   
         51.      0.10801777E+06      0.27780884E+06     -0.87525788E+06      0.83679779E+03      0.68199066E+03      0.14354977E+06      0.40596580E+04
         52.      0.10801770E+06      0.28250100E+06     -0.88103438E+06      0.84387579E+03      0.68423407E+03      0.14354977E+06      0.40596580E+04
         53.      0.10801762E+06      0.28720866E+06     -0.88685975E+06      0.85100049E+03      0.68651520E+03      0.14354977E+06      0.40596580E+04
NS ColMember_9.
    ElemID              NF [N]              My [Nmm]            Mz [Nmm]            Vy [N]              Vz [N]              T [N/mm]            Y_LOC   
         54.      0.11299595E+06     -0.32715753E+06     -0.78272812E+06      0.44565796E+03      0.19531683E+04      0.18973486E+06      0.42200000E+03
         55.      0.11299598E+06     -0.30765038E+06     -0.78723106E+06      0.45532614E+03      0.19492681E+04      0.18973486E+06      0.42200000E+03
         56.      0.11299600E+06     -0.28818106E+06     -0.79183106E+06      0.46504996E+03      0.19456064E+04      0.18973486E+06      0.42200000E+03
         57.      0.11299602E+06     -0.26874719E+06     -0.79652875E+06      0.47483066E+03      0.19421826E+04      0.18973486E+06      0.42200000E+03
         58.      0.11299603E+06     -0.24934642E+06     -0.80132462E+06      0.48466940E+03      0.19389966E+04      0.18973486E+06      0.42200000E+03
