NS ColMember_1.
    ElemID              NF [N]              My [Nmm]            Mz [Nmm]            Vy [N]              Vz [N]              T [N/mm]            Y_LOC   
    ElemID              NF [N]              My [Nmm]            Mz [Nmm]            Vy [N]              Vz [N]              T [N/mm]            Y_LOC   
         43.      0.11492548E+06     -0.35398631E+06     -0.76440481E+06      0.31503210E+03      0.16177756E+04      0.18850928E+06      0.40700000E+03
         44.      0.11492548E+06     -0.34185300E+06     -0.76676756E+06      0.31503210E+03      0.16177756E+04      0.18850928E+06      0.40700000E+03
NS ColMember_6.
    ElemID              NF [N]              My [Nmm]            Mz [Nmm]            Vy [N]              Vz [N]              T [N/mm]            Y_LOC   
         45.     -0.22475200E+06     -0.88663984E+05     -0.85390888E+06      0.11168462E+04     -0.12382822E+04      0.15346261E+06      0.40596580E+04
         46.     -0.22475200E+06     -0.97174695E+05     -0.86158494E+06      0.11168462E+04     -0.12382822E+04      0.15346261E+06      0.40596580E+04
         47.     -0.22475200E+06     -0.10568541E+06     -0.86926100E+06      0.11168462E+04     -0.12382822E+04      0.15346261E+06      0.40596580E+04
NS ColMember_7.
    ElemID              NF [N]              My [Nmm]            Mz [Nmm]            Vy [N]              Vz [N]              T [N/mm]            Y_LOC   
         48.      0.11090573E+06      0.31416266E+06     -0.45415250E+06     -0.21964358E+04      0.60974329E+03      0.15821662E+06      0.40596580E+04
         49.      0.11090573E+06      0.31835344E+06     -0.43905641E+06     -0.21964358E+04      0.60974329E+03      0.15821662E+06      0.40596580E+04
         50.      0.11090573E+06      0.32254419E+06     -0.42396031E+06     -0.21964358E+04      0.60974329E+03      0.15821662E+06      0.40596580E+04
NS ColMember_8.
    ElemID              NF [N]              My [Nmm]            Mz [Nmm]            Vy [N]              Vz [N]              T [N/mm]            Y_LOC   
         51.      0.11384627E+06      0.28906694E+06     -0.93154650E+06      0.10798068E+04      0.62825592E+03      0.14679633E+06      0.40596580E+04
         52.      0.11384627E+06      0.29338494E+06     -0.93896800E+06      0.10798068E+04      0.62825592E+03      0.14679633E+06      0.40596580E+04
         53.      0.11384627E+06      0.29770294E+06     -0.94638950E+06      0.10798068E+04      0.62825592E+03      0.14679633E+06      0.40596580E+04
NS ColMember_9.
    ElemID              NF [N]              My [Nmm]            Mz [Nmm]            Vy [N]              Vz [N]              T [N/mm]            Y_LOC   
         54.      0.11468876E+06     -0.32141128E+06     -0.75846431E+06      0.34330090E+03      0.18556853E+04      0.18980683E+06      0.42200000E+03
         55.      0.11468876E+06     -0.30285441E+06     -0.76189731E+06      0.34330090E+03      0.18556853E+04      0.18980683E+06      0.42200000E+03
         56.      0.11468876E+06     -0.28429756E+06     -0.76533038E+06      0.34330090E+03      0.18556853E+04      0.18980683E+06      0.42200000E+03
         57.      0.11468876E+06     -0.26574072E+06     -0.76876338E+06      0.34330090E+03      0.18556853E+04      0.18980683E+06      0.42200000E+03
         58.      0.11468876E+06     -0.24718386E+06     -0.77219638E+06      0.34330090E+03      0.18556853E+04      0.18980683E+06      0.42200000E+03
         59.      0.11468876E+06     -0.22862700E+06     -0.77562938E+06      0.34330090E+03      0.18556853E+04      0.18980683E+06      0.42200000E+03
         60.      0.11468876E+06     -0.21007016E+06     -0.77906238E+06      0.34330090E+03      0.18556853E+04      0.18980683E+06      0.42200000E+03
         61.      0.11468876E+06     -0.19151330E+06     -0.78249538E+06      0.34330090E+03      0.18556853E+04      0.18980683E+06      0.42200000E+03
         62.      0.11468876E+06     -0.17295645E+06     -0.78592838E+06      0.34330090E+03      0.18556853E+04      0.18980683E+06      0.42200000E+03
         63.      0.11468876E+06     -0.15439959E+06     -0.78936144E+06      0.34330090E+03      0.18556853E+04      0.18980683E+06      0.42200000E+03
         64.      0.11468876E+06     -0.13584273E+06     -0.79279444E+06      0.34330090E+03      0.18556853E+04      0.18980683E+06      0.42200000E+03
         65.      0.11468876E+06     -0.11728589E+06     -0.79622744E+06      0.34330090E+03      0.18556853E+04      0.18980683E+06      0.42200000E+03
         66.      0.11468876E+06     -0.98729031E+05     -0.79966044E+06      0.34330090E+03      0.18556853E+04      0.18980683E+06      0.42200000E+03
         67.      0.11468876E+06     -0.80172180E+05     -0.80309344E+06      0.34330090E+03      0.18556853E+04      0.18980683E+06      0.42200000E+03
         68.      0.11468876E+06     -0.61615328E+05     -0.80652644E+06      0.34330090E+03      0.18556853E+04      0.18980683E+06      0.42200000E+03
         69.      0.11468876E+06     -0.43058477E+05     -0.80995944E+06      0.34330090E+03      0.18556853E+04      0.18980683E+06      0.42200000E+03
         70.      0.11468876E+06     -0.24501621E+05     -0.81339250E+06      0.34330090E+03      0.18556853E+04      0.18980683E+06      0.42200000E+03
         71.      0.11468876E+06     -0.59447686E+04     -0.81682550E+06      0.34330090E+03      0.18556853E+04      0.18980683E+06      0.42200000E+03
         72.      0.11468876E+06      0.12612085E+05     -0.82025850E+06      0.34330090E+03      0.18556853E+04      0.18980683E+06      0.42200000E+03
         73.      0.11468876E+06      0.31168938E+05     -0.82369150E+06      0.34330090E+03      0.18556853E+04      0.18980683E+06      0.42200000E+03
         74.      0.11468876E+06      0.49725793E+05     -0.82712450E+06      0.34330090E+03      0.18556853E+04      0.18980683E+06      0.42200000E+03
         75.      0.11468876E+06      0.68282641E+05     -0.83055750E+06      0.34330090E+03      0.18556853E+04      0.18980683E+06      0.42200000E+03
         76.      0.11468876E+06      0.86839500E+05     -0.83399050E+06      0.34330090E+03      0.18556853E+04      0.18980683E+06      0.42200000E+03
         77.      0.11468876E+06      0.10539635E+06     -0.83742356E+06      0.34330090E+03      0.18556853E+04      0.18980683E+06      0.42200000E+03
         78.      0.11468876E+06      0.12395320E+06     -0.84085656E+06      0.34330090E+03      0.18556853E+04      0.18980683E+06      0.42200000E+03
         79.      0.11468876E+06      0.14251006E+06     -0.84428956E+06      0.34330090E+03      0.18556853E+04      0.18980683E+06      0.42200000E+03
