Optimization Data
 
Start time: 2026-05-13 16:44:56 
 
Solver Options:
Method: PySLSQP 
# acc: 0.001 
# finite_diff_abs_step: [0.02501524, 0.010708450000000001, 0.00042756, 0.00355323, 0.00023872000000000002] 
# maxiter: 60 
# Aggregate: P-norm 
# p_value: 8 
# rho_value: 100 
# relaxation: 0 
Design Variables and Bounds 
# x0 = [250.15, 107.08, 4.28, 35.53, 2.39]
 x[0] (rad) bounds = [150.0, 350.0] 
 x[1] (d0) bounds = [48.3, 108] 
 x[2] (t0) bounds = [2.5, 5] 
 x[3] (d1) bounds = [25, 60.0] 
 x[4] (t1) bounds = [2, 6] 


iteration,eval_index,objective,x0,x1,x2,x3,x4,g_max,v_agg,c_val,seg_mass1,seg_mass2,seg_mass3,seg_mass4,seg_mass5
0, 1, 200.44, 250.15 ,107.08 ,4.28 ,35.53 ,2.39, 0.0000, 0.0000, 1.0000, 40.090,40.025,40.025,40.025,40.943
0, 2, 200.50, 250.40 ,107.08 ,4.28 ,35.53 ,2.39, 0.0000, 0.0000, 1.0000, 40.101,40.036,40.036,40.036,40.955
0, 3, 200.57, 250.15 ,107.19 ,4.28 ,35.53 ,2.39, 0.0000, 0.0000, 1.0000, 40.117,40.052,40.052,40.052,40.972
0, 4, 200.56, 250.15 ,107.08 ,4.28 ,35.53 ,2.39, 0.0000, 0.0000, 1.0000, 40.115,40.050,40.050,40.050,40.970
0, 5, 200.51, 250.15 ,107.08 ,4.28 ,35.57 ,2.39, 0.0000, 0.0000, 1.0000, 40.104,40.039,40.039,40.039,40.958
0, 6, 200.50, 250.15 ,107.08 ,4.28 ,35.53 ,2.39, 0.0000, 0.0000, 1.0000, 40.102,40.037,40.037,40.037,40.956
0, 7, 200.44, 250.15 ,107.08 ,4.28 ,35.53 ,2.39, 0.0000, 0.0000, 1.0000, 40.090,40.025,40.025,40.025,40.943
0, 8, 200.50, 250.40 ,107.08 ,4.28 ,35.53 ,2.39, 0.0000, 0.0000, 1.0000, 40.101,40.036,40.036,40.036,40.955
0, 9, 200.57, 250.15 ,107.19 ,4.28 ,35.53 ,2.39, 0.0000, 0.0000, 1.0000, 40.117,40.052,40.052,40.052,40.972
0, 10, 200.56, 250.15 ,107.08 ,4.28 ,35.53 ,2.39, 0.0000, 0.0000, 1.0000, 40.115,40.050,40.050,40.050,40.970
0, 11, 200.51, 250.15 ,107.08 ,4.28 ,35.57 ,2.39, 0.0000, 0.0000, 1.0000, 40.104,40.039,40.039,40.039,40.958
0, 12, 200.50, 250.15 ,107.08 ,4.28 ,35.53 ,2.39, 0.0000, 0.0000, 1.0000, 40.102,40.037,40.037,40.037,40.956
0, 13, 121.81, 247.77 ,81.49 ,3.52 ,25.00 ,2.00, 0.0000, 0.0000, 1.0000, 24.362,24.322,24.322,24.322,24.895
1, 14, 121.84, 248.01 ,81.49 ,3.52 ,25.00 ,2.00, 0.0000, 0.0000, 0.0000, 24.369,24.329,24.329,24.329,24.902
1, 15, 121.89, 247.77 ,81.57 ,3.52 ,25.00 ,2.00, 0.0000, 0.0000, 0.0000, 24.380,24.339,24.339,24.339,24.913
1, 16, 121.88, 247.77 ,81.49 ,3.52 ,25.00 ,2.00, 0.0000, 0.0000, 0.0000, 24.378,24.338,24.338,24.338,24.911
1, 17, 121.85, 247.77 ,81.49 ,3.52 ,25.03 ,2.00, 0.0000, 0.0000, 0.0000, 24.371,24.330,24.330,24.330,24.904
1, 18, 121.84, 247.77 ,81.49 ,3.52 ,25.00 ,2.00, 0.0000, 0.0000, 0.0000, 24.370,24.329,24.329,24.329,24.902
1, 19, 121.81, 247.77 ,81.49 ,3.52 ,25.00 ,2.00, 0.0000, 0.0000, 0.0000, 24.362,24.322,24.322,24.322,24.895
1, 20, 121.84, 248.01 ,81.49 ,3.52 ,25.00 ,2.00, 0.0000, 0.0000, 0.0000, 24.369,24.329,24.329,24.329,24.902
1, 21, 121.89, 247.77 ,81.57 ,3.52 ,25.00 ,2.00, 0.0000, 0.0000, 0.0000, 24.380,24.339,24.339,24.339,24.913
1, 22, 121.88, 247.77 ,81.49 ,3.52 ,25.00 ,2.00, 0.0000, 0.0000, 0.0000, 24.378,24.338,24.338,24.338,24.911
1, 23, 121.85, 247.77 ,81.49 ,3.52 ,25.03 ,2.00, 0.0000, 0.0000, 0.0000, 24.371,24.330,24.330,24.330,24.904
1, 24, 121.84, 247.77 ,81.49 ,3.52 ,25.00 ,2.00, 0.0000, 0.0000, 0.0000, 24.370,24.329,24.329,24.329,24.902
1, 25, 108.23, 247.23 ,73.99 ,3.24 ,25.00 ,2.00, 0.0000, 0.0000, 0.0000, 21.647,21.613,21.613,21.613,22.092
2, 26, 108.26, 247.48 ,73.99 ,3.24 ,25.00 ,2.00, 0.0000, 0.0000, 0.0000, 21.654,21.620,21.620,21.620,22.099
2, 27, 108.30, 247.23 ,74.06 ,3.24 ,25.00 ,2.00, 0.0000, 0.0000, 0.0000, 21.661,21.628,21.628,21.628,22.107
2, 28, 108.30, 247.23 ,73.99 ,3.24 ,25.00 ,2.00, 0.0000, 0.0000, 0.0000, 21.660,21.626,21.626,21.626,22.106
2, 29, 108.27, 247.23 ,73.99 ,3.24 ,25.03 ,2.00, 0.0000, 0.0000, 0.0000, 21.656,21.622,21.622,21.622,22.101
2, 30, 108.27, 247.23 ,73.99 ,3.24 ,25.00 ,2.00, 0.0000, 0.0000, 0.0000, 21.654,21.620,21.620,21.620,22.100
2, 31, 108.23, 247.23 ,73.99 ,3.24 ,25.00 ,2.00, 0.0000, 0.0000, 0.0000, 21.647,21.613,21.613,21.613,22.092
2, 32, 108.26, 247.48 ,73.99 ,3.24 ,25.00 ,2.00, 0.0000, 0.0000, 0.0000, 21.654,21.620,21.620,21.620,22.099
2, 33, 108.30, 247.23 ,74.06 ,3.24 ,25.00 ,2.00, 0.0000, 0.0000, 0.0000, 21.661,21.628,21.628,21.628,22.107
2, 34, 108.30, 247.23 ,73.99 ,3.24 ,25.00 ,2.00, 0.0000, 0.0000, 0.0000, 21.660,21.626,21.626,21.626,22.106
2, 35, 108.27, 247.23 ,73.99 ,3.24 ,25.03 ,2.00, 0.0000, 0.0000, 0.0000, 21.656,21.622,21.622,21.622,22.101
2, 36, 108.27, 247.23 ,73.99 ,3.24 ,25.00 ,2.00, 0.0000, 0.0000, 0.0000, 21.654,21.620,21.620,21.620,22.100
2, 37, 73.72, 245.23 ,48.57 ,2.50 ,25.00 ,2.00, 0.0363, 0.0443, 0.0000, 14.744,14.727,14.727,14.727,14.968
3, 38, 73.75, 245.47 ,48.57 ,2.50 ,25.00 ,2.00, 0.0352, 0.0428, 0.8183, 14.751,14.734,14.734,14.734,14.975
3, 39, 73.75, 245.23 ,48.61 ,2.50 ,25.00 ,2.00, 0.0350, 0.0426, 0.8183, 14.752,14.734,14.734,14.734,14.975
3, 40, 73.75, 245.23 ,48.57 ,2.50 ,25.00 ,2.00, 0.0353, 0.0430, 0.8183, 14.751,14.734,14.734,14.734,14.975
3, 41, 73.76, 245.23 ,48.57 ,2.50 ,25.03 ,2.00, 0.0362, 0.0442, 0.8183, 14.753,14.736,14.736,14.736,14.976
3, 42, 73.75, 245.23 ,48.57 ,2.50 ,25.00 ,2.00, 0.0362, 0.0443, 0.8183, 14.751,14.734,14.734,14.734,14.975
3, 43, 73.72, 245.23 ,48.57 ,2.50 ,25.00 ,2.00, 0.0363, 0.0443, 0.8183, 14.744,14.727,14.727,14.727,14.968
3, 44, 73.75, 245.47 ,48.57 ,2.50 ,25.00 ,2.00, 0.0352, 0.0428, 0.8183, 14.751,14.734,14.734,14.734,14.975
3, 45, 73.75, 245.23 ,48.61 ,2.50 ,25.00 ,2.00, 0.0350, 0.0426, 0.8183, 14.752,14.734,14.734,14.734,14.975
3, 46, 73.75, 245.23 ,48.57 ,2.50 ,25.00 ,2.00, 0.0353, 0.0430, 0.8183, 14.751,14.734,14.734,14.734,14.975
3, 47, 73.76, 245.23 ,48.57 ,2.50 ,25.03 ,2.00, 0.0362, 0.0442, 0.8183, 14.753,14.736,14.736,14.736,14.976
3, 48, 73.75, 245.23 ,48.57 ,2.50 ,25.00 ,2.00, 0.0362, 0.0443, 0.8183, 14.751,14.734,14.734,14.734,14.975
