Optimization Data
 
Start time: 2026-05-14 17:39:46 
 
Solver Options:
Method: PySLSQP 
# acc: 0.001 
# finite_diff_abs_step: [0.01895485, 0.00642199, 0.00040180999999999995, 0.00583003, 0.00059027] 
# maxiter: 80 
# Aggregate: None 
# p_value: 8 
# rho_value: 100 
# relaxation: 0 
Design Variables and Bounds 
# x0 = [189.55, 64.22, 4.02, 58.30, 5.90]
 x[0] (rad) bounds = [150.0, 350.0] 
 x[1] (d0) bounds = [48.3, 108] 
 x[2] (t0) bounds = [2.5, 5.0] 
 x[3] (d1) bounds = [25, 60.0] 
 x[4] (t1) bounds = [2, 6.0] 


iteration,eval_index,objective,x0,x1,x2,x3,x4,g_max,v_agg,c_val,seg_mass1,seg_mass2,seg_mass3,seg_mass4,seg_mass5
0, 1, 285.36, 189.55 ,64.22 ,4.02 ,58.30 ,5.90, NA, NA, 1.0000, 57.073,57.037,57.037,57.037,57.543
0, 2, 285.53, 189.74 ,64.22 ,4.02 ,58.30 ,5.90, NA, NA, 1.0000, 57.107,57.071,57.071,57.071,57.576
0, 3, 285.44, 189.55 ,64.28 ,4.02 ,58.30 ,5.90, NA, NA, 1.0000, 57.088,57.052,57.052,57.052,57.559
0, 4, 285.43, 189.55 ,64.22 ,4.02 ,58.30 ,5.90, NA, NA, 1.0000, 57.086,57.050,57.050,57.050,57.557
0, 5, 285.59, 189.55 ,64.22 ,4.02 ,58.36 ,5.90, NA, NA, 1.0000, 57.120,57.084,57.084,57.084,57.590
0, 6, 285.55, 189.55 ,64.22 ,4.02 ,58.30 ,5.91, NA, NA, 1.0000, 57.110,57.075,57.075,57.075,57.580
0, 7, 285.36, 189.55 ,64.22 ,4.02 ,58.30 ,5.90, NA, NA, 1.0000, 57.073,57.037,57.037,57.037,57.543
0, 8, 285.53, 189.74 ,64.22 ,4.02 ,58.30 ,5.90, NA, NA, 1.0000, 57.107,57.071,57.071,57.071,57.576
0, 9, 285.44, 189.55 ,64.28 ,4.02 ,58.30 ,5.90, NA, NA, 1.0000, 57.088,57.052,57.052,57.052,57.559
0, 10, 285.43, 189.55 ,64.22 ,4.02 ,58.30 ,5.90, NA, NA, 1.0000, 57.086,57.050,57.050,57.050,57.557
