NS ColMember_1.
    ElemID              NF [N]              My [Nmm]            Mz [Nmm]            Vy [N]              Vz [N]              T [N/mm]
         52.     -0.27558850E+06      0.21708553E-12     -0.31949486E+05      0.41341152E-12      0.10938420E-13     -0.71636592E+04
         53.     -0.27558838E+06      0.21659085E-12     -0.30819742E+05      0.41535826E-12      0.10943147E-13     -0.72564780E+04
         54.     -0.27558825E+06      0.21607282E-12     -0.29683736E+05      0.41722962E-12      0.10937487E-13     -0.73467910E+04
         55.     -0.27558809E+06      0.21553069E-12     -0.28541697E+05      0.41902530E-12      0.10921393E-13     -0.74345684E+04
         56.     -0.27558797E+06      0.21496378E-12     -0.27393855E+05      0.42074504E-12      0.10894829E-13     -0.75197827E+04
         57.     -0.27558788E+06      0.21437135E-12     -0.26240449E+05      0.42238852E-12      0.10857765E-13     -0.76024067E+04
         58.     -0.27558775E+06      0.21375272E-12     -0.25081709E+05      0.42395544E-12      0.10810177E-13     -0.76824141E+04
         59.     -0.27558762E+06      0.21310716E-12     -0.23917871E+05      0.42544559E-12      0.10752046E-13     -0.77597793E+04
         60.     -0.27558750E+06      0.21243398E-12     -0.22749172E+05      0.42685866E-12      0.10683366E-13     -0.78344790E+04
         61.     -0.27558741E+06      0.21173246E-12     -0.21575850E+05      0.42819448E-12      0.10604131E-13     -0.79064888E+04
         62.     -0.27558728E+06      0.21100192E-12     -0.20398143E+05      0.42945278E-12      0.10514346E-13     -0.79757871E+04
         63.     -0.27558719E+06      0.21024167E-12     -0.19216289E+05      0.43063339E-12      0.10414021E-13     -0.80423530E+04
         64.     -0.27558706E+06      0.20945100E-12     -0.18030531E+05      0.43173608E-12      0.10303175E-13     -0.81061655E+04
         65.     -0.27558697E+06      0.20862924E-12     -0.16841107E+05      0.43276065E-12      0.10181832E-13     -0.81672051E+04
         66.     -0.27558688E+06      0.20777569E-12     -0.15648263E+05      0.43370700E-12      0.10050023E-13     -0.82254541E+04
         67.     -0.27558678E+06      0.20688969E-12     -0.14452236E+05      0.43457490E-12      0.99077876E-14     -0.82808955E+04
         68.     -0.27558669E+06      0.20597056E-12     -0.13253272E+05      0.43536426E-12      0.97551717E-14     -0.83335127E+04
         69.     -0.27558659E+06      0.20501764E-12     -0.12051615E+05      0.43607492E-12      0.95922263E-14     -0.83832900E+04
         70.     -0.27558650E+06      0.20403026E-12     -0.10847508E+05      0.43670677E-12      0.94190115E-14     -0.84302139E+04
         71.     -0.27558644E+06      0.20300776E-12     -0.96411963E+04      0.43725974E-12      0.92355941E-14     -0.84742715E+04
         72.     -0.27558634E+06      0.20194951E-12     -0.84329248E+04      0.43773370E-12      0.90420462E-14     -0.85154492E+04
         73.     -0.27558628E+06      0.20085485E-12     -0.72229385E+04      0.43812856E-12      0.88384491E-14     -0.85537373E+04
         74.     -0.27558622E+06      0.19972315E-12     -0.60114844E+04      0.43844434E-12      0.86248884E-14     -0.85891250E+04
         75.     -0.27558616E+06      0.19855377E-12     -0.47988081E+04      0.43868091E-12      0.84014589E-14     -0.86216035E+04
         76.     -0.27558609E+06      0.19734610E-12     -0.35851565E+04      0.43883826E-12      0.81682597E-14     -0.86511650E+04
         77.     -0.27558603E+06      0.19609951E-12     -0.23707754E+04      0.43891640E-12      0.79253993E-14     -0.86778027E+04
         78.     -0.27558597E+06      0.19481342E-12     -0.11559122E+04      0.43891529E-12      0.76729911E-14     -0.87015098E+04
         79.     -0.27558594E+06      0.19348719E-12      0.59186390E+02      0.43883492E-12      0.74111554E-14     -0.87222822E+04
         80.     -0.27558591E+06      0.19212027E-12      0.12742734E+04      0.43867535E-12      0.71400202E-14     -0.87401152E+04
         81.     -0.27558584E+06      0.19071206E-12      0.24891021E+04      0.43843661E-12      0.68597196E-14     -0.87550078E+04
         82.     -0.27558581E+06      0.18926198E-12      0.37034255E+04      0.43811873E-12      0.65703935E-14     -0.87669570E+04
         83.     -0.27558581E+06      0.18776946E-12      0.49169966E+04      0.43772177E-12      0.62721888E-14     -0.87759619E+04
         84.     -0.27558578E+06      0.18623398E-12      0.61295693E+04      0.43724581E-12      0.59652592E-14     -0.87820234E+04
         85.     -0.27558575E+06      0.18465494E-12      0.73408965E+04      0.43669094E-12      0.56497648E-14     -0.87851436E+04
         86.     -0.27558575E+06      0.18303185E-12      0.85507324E+04      0.43605725E-12      0.53258721E-14     -0.87853232E+04
         87.     -0.27558575E+06      0.18136417E-12      0.97588311E+04      0.43534485E-12      0.49937530E-14     -0.87825674E+04
         88.     -0.27558572E+06      0.17965138E-12      0.10964948E+05      0.43455390E-12      0.46535872E-14     -0.87768799E+04
         89.     -0.27558572E+06      0.17789297E-12      0.12168836E+05      0.43368450E-12      0.43055591E-14     -0.87682666E+04
         90.     -0.27558575E+06      0.17608845E-12      0.13370252E+05      0.43273685E-12      0.39498603E-14     -0.87567344E+04
         91.     -0.27558575E+06      0.17423735E-12      0.14568952E+05      0.43171109E-12      0.35866877E-14     -0.87422900E+04
         92.     -0.27558578E+06      0.17233917E-12      0.15764691E+05      0.43060740E-12      0.32162451E-14     -0.87249434E+04
         93.     -0.27558578E+06      0.17039347E-12      0.16957227E+05      0.42942597E-12      0.28387409E-14     -0.87047031E+04
         94.     -0.27558581E+06      0.16839980E-12      0.18146318E+05      0.42816705E-12      0.24543908E-14     -0.86815811E+04
         95.     -0.27558584E+06      0.16635772E-12      0.19331723E+05      0.42683080E-12      0.20634155E-14     -0.86555879E+04
         96.     -0.27558588E+06      0.16426681E-12      0.20513197E+05      0.42541751E-12      0.16660412E-14     -0.86267373E+04
         97.     -0.27558591E+06      0.16212665E-12      0.21690506E+05      0.42392739E-12      0.12625002E-14     -0.85950439E+04
         98.     -0.27558597E+06      0.15993684E-12      0.22863404E+05      0.42236071E-12      0.85302999E-15     -0.85605205E+04
         99.     -0.27558600E+06      0.15769700E-12      0.24031660E+05      0.42071777E-12      0.43787381E-15     -0.85231846E+04
        100.     -0.27558606E+06      0.15540676E-12      0.25195031E+05      0.41899882E-12      0.17279995E-16     -0.84830518E+04
