NS ColMember_1.
    ElemID              NF [N]              My [Nmm]            Mz [Nmm]            Vy [N]              Vz [N]              T [N/mm]
         52.     -0.49750082E+03     -0.56806019E-14     -0.37549216E+03     -0.43354564E-14      0.15208189E-16      0.56543260E+01
         53.     -0.49750082E+03     -0.56217522E-14     -0.43203436E+03     -0.43353048E-14      0.15208718E-16      0.56543074E+01
         54.     -0.49750085E+03     -0.55628952E-14     -0.48857635E+03     -0.43351320E-14      0.15209259E-16      0.56542859E+01
         55.     -0.49750085E+03     -0.55040315E-14     -0.54511810E+03     -0.43349384E-14      0.15209810E-16      0.56542621E+01
         56.     -0.49750085E+03     -0.54451602E-14     -0.60165967E+03     -0.43347233E-14      0.15210374E-16      0.56542354E+01
         57.     -0.49750089E+03     -0.53862812E-14     -0.65820093E+03     -0.43344874E-14      0.15210950E-16      0.56542058E+01
         58.     -0.49750089E+03     -0.53273942E-14     -0.71474188E+03     -0.43342303E-14      0.15211539E-16      0.56541743E+01
         59.     -0.49750089E+03     -0.52684992E-14     -0.77128253E+03     -0.43339521E-14      0.15212138E-16      0.56541395E+01
         60.     -0.49750092E+03     -0.52095957E-14     -0.82782281E+03     -0.43336526E-14      0.15212748E-16      0.56541023E+01
         61.     -0.49750092E+03     -0.51506833E-14     -0.88436279E+03     -0.43333325E-14      0.15213372E-16      0.56540627E+01
         62.     -0.49750092E+03     -0.50917620E-14     -0.94090234E+03     -0.43329907E-14      0.15214007E-16      0.56540203E+01
         63.     -0.49750095E+03     -0.50328313E-14     -0.99744147E+03     -0.43326282E-14      0.15214652E-16      0.56539755E+01
         64.     -0.49750095E+03     -0.49738914E-14     -0.10539801E+04     -0.43322445E-14      0.15215311E-16      0.56539278E+01
         65.     -0.49750098E+03     -0.49149417E-14     -0.11105183E+04     -0.43318396E-14      0.15215981E-16      0.56538773E+01
         66.     -0.49750098E+03     -0.48559819E-14     -0.11670560E+04     -0.43314135E-14      0.15216662E-16      0.56538243E+01
         67.     -0.49750101E+03     -0.47970114E-14     -0.12235933E+04     -0.43309667E-14      0.15217357E-16      0.56537690E+01
         68.     -0.49750101E+03     -0.47380308E-14     -0.12801299E+04     -0.43304987E-14      0.15218062E-16      0.56537108E+01
         69.     -0.49750104E+03     -0.46790396E-14     -0.13366660E+04     -0.43300096E-14      0.15218778E-16      0.56536503E+01
         70.     -0.49750107E+03     -0.46200370E-14     -0.13932014E+04     -0.43294992E-14      0.15219508E-16      0.56535869E+01
         71.     -0.49750107E+03     -0.45610234E-14     -0.14497363E+04     -0.43289681E-14      0.15220249E-16      0.56535206E+01
         72.     -0.49750107E+03     -0.45019979E-14     -0.15062705E+04     -0.43284159E-14      0.15221000E-16      0.56534519E+01
         73.     -0.49750110E+03     -0.44429606E-14     -0.15628041E+04     -0.43278424E-14      0.15221764E-16      0.56533809E+01
         74.     -0.49750113E+03     -0.43839113E-14     -0.16193369E+04     -0.43272482E-14      0.15222540E-16      0.56533070E+01
         75.     -0.49750113E+03     -0.43248499E-14     -0.16758690E+04     -0.43266329E-14      0.15223328E-16      0.56532302E+01
