NS ColMember_1.
    ElemID              NF [N]              My [Nmm]            Mz [Nmm]            Vy [N]              Vz [N]              T [N/mm]
         50.     -0.25307949E+04      0.66379297E+03     -0.13590470E+05     -0.24003476E+03     -0.24345663E+01     -0.14286601E+02
         51.     -0.25307915E+04      0.63945526E+03     -0.13447663E+05     -0.24003467E+03     -0.24347348E+01     -0.14289811E+02
         52.     -0.25307883E+04      0.61511609E+03     -0.13304825E+05     -0.24003459E+03     -0.24348977E+01     -0.14292987E+02
         53.     -0.25307849E+04      0.59077551E+03     -0.13161957E+05     -0.24003450E+03     -0.24350550E+01     -0.14296129E+02
         54.     -0.25307815E+04      0.56643353E+03     -0.13019059E+05     -0.24003441E+03     -0.24352067E+01     -0.14299237E+02
         55.     -0.25307783E+04      0.54209027E+03     -0.12876131E+05     -0.24003432E+03     -0.24353528E+01     -0.14302311E+02
         56.     -0.25307749E+04      0.51774573E+03     -0.12733174E+05     -0.24003423E+03     -0.24354930E+01     -0.14305351E+02
         57.     -0.25307715E+04      0.49340002E+03     -0.12590188E+05     -0.24003413E+03     -0.24356277E+01     -0.14308357E+02
         58.     -0.25307681E+04      0.46905316E+03     -0.12447172E+05     -0.24003404E+03     -0.24357567E+01     -0.14311329E+02
         59.     -0.25307646E+04      0.44470523E+03     -0.12304128E+05     -0.24003395E+03     -0.24358799E+01     -0.14314267E+02
         60.     -0.25307612E+04      0.42035623E+03     -0.12161057E+05     -0.24003384E+03     -0.24359977E+01     -0.14317171E+02
         61.     -0.25307578E+04      0.39600629E+03     -0.12017957E+05     -0.24003375E+03     -0.24361095E+01     -0.14320041E+02
         62.     -0.25307544E+04      0.37165543E+03     -0.11874830E+05     -0.24003365E+03     -0.24362159E+01     -0.14322877E+02
         63.     -0.25307510E+04      0.34730371E+03     -0.11731676E+05     -0.24003354E+03     -0.24363165E+01     -0.14325679E+02
         64.     -0.25307476E+04      0.32295117E+03     -0.11588495E+05     -0.24003343E+03     -0.24364114E+01     -0.14328447E+02
         65.     -0.25307441E+04      0.29859787E+03     -0.11445288E+05     -0.24003333E+03     -0.24365005E+01     -0.14331181E+02
         66.     -0.25307407E+04      0.27424390E+03     -0.11302054E+05     -0.24003322E+03     -0.24365840E+01     -0.14333880E+02
         67.     -0.25307373E+04      0.24988928E+03     -0.11158795E+05     -0.24003311E+03     -0.24366620E+01     -0.14336546E+02
         68.     -0.25307339E+04      0.22553409E+03     -0.11015510E+05     -0.24003300E+03     -0.24367340E+01     -0.14339178E+02
         69.     -0.25307307E+04      0.20117836E+03     -0.10872200E+05     -0.24003288E+03     -0.24368002E+01     -0.14341776E+02
         70.     -0.25307273E+04      0.17682217E+03     -0.10728865E+05     -0.24003278E+03     -0.24368610E+01     -0.14344339E+02
         71.     -0.25307239E+04      0.15246558E+03     -0.10585506E+05     -0.24003265E+03     -0.24369159E+01     -0.14346869E+02
         72.     -0.25307205E+04      0.12810861E+03     -0.10442122E+05     -0.24003253E+03     -0.24369652E+01     -0.14349364E+02
         73.     -0.25307173E+04      0.10375135E+03     -0.10298715E+05     -0.24003241E+03     -0.24370086E+01     -0.14351826E+02
         74.     -0.25307139E+04      0.79393845E+02     -0.10155284E+05     -0.24003229E+03     -0.24370463E+01     -0.14354254E+02
         75.     -0.25307107E+04      0.55036148E+02     -0.10011830E+05     -0.24003217E+03     -0.24370785E+01     -0.14356647E+02
