eval_index,objective
1,107.122
2,107.212
3,109.233
4,107.288
5,108.730
6,68.723
7,68.817
8,70.774
9,68.730
10,70.528
11,67.934
12,68.025
13,69.927
14,67.953
15,69.720
16,55.666
17,55.747
18,57.358
19,55.699
20,57.425
21,58.666
22,58.746
23,60.421
24,58.705
25,60.396
26,58.714
27,58.794
28,60.470
29,58.753
30,60.440
31,58.722
32,58.715
33,58.714
34,58.714
35,58.714
36,58.714
37,58.714
38,58.714
39,58.714
40,58.714
41,58.714
42,58.794
43,60.470
44,58.753
45,60.440
46,58.721
47,58.715
48,58.714
49,58.714
50,58.714
51,58.714
52,58.794
53,60.470
54,58.753
55,60.440
56,58.721
