eval_index,objective
1,107.122
2,107.131
3,107.333
4,107.139
5,107.283
6,107.122
7,107.131
8,107.333
9,107.139
10,107.283
11,68.698
12,68.708
13,68.904
14,68.699
15,68.879
16,68.698
17,68.708
18,68.904
19,68.699
20,68.879
21,66.692
22,66.701
23,66.892
24,66.693
25,66.872
26,66.692
27,66.701
28,66.892
29,66.693
30,66.872
31,56.061
32,56.069
33,56.239
34,56.063
35,56.241
36,56.061
37,56.069
38,56.239
39,56.063
40,56.241
41,56.103
42,56.172
43,56.097
44,56.075
45,56.066
46,56.064
47,56.072
48,56.242
49,56.066
50,56.244
51,56.064
52,56.072
53,56.242
54,56.066
55,56.244
56,50.820
57,56.046
58,56.068
59,56.064
60,56.064
61,56.073
62,56.242
63,56.067
64,56.244
65,56.064
66,56.073
67,56.242
68,56.067
69,56.244
70,58.415
71,58.423
72,58.592
73,58.418
74,58.592
75,58.415
76,58.423
77,58.592
78,58.418
79,58.592
80,59.615
81,59.623
82,59.793
83,59.619
84,59.791
85,59.615
86,59.623
87,59.793
88,59.619
89,59.791
90,59.710
91,59.718
92,59.887
93,59.714
94,59.886
95,59.710
96,59.718
97,59.887
98,59.714
99,59.886
100,59.143
101,59.151
102,59.319
103,59.147
104,59.319
105,59.143
106,59.151
107,59.319
108,59.147
109,59.319
110,58.761
111,58.769
112,58.937
113,58.765
114,58.938
115,58.761
116,58.769
117,58.937
118,58.765
119,58.938
120,58.784
121,58.792
122,58.960
123,58.788
124,58.961
125,58.784
126,58.792
127,58.960
128,58.788
129,58.961
130,58.784
131,58.788
132,58.784
133,58.784
134,58.784
135,58.784
136,58.784
137,58.784
138,58.784
139,58.784
140,58.784
