eval_index,objective
1,107.122
2,107.212
3,109.233
4,107.288
5,108.730
6,68.723
7,68.817
8,70.774
9,68.730
10,70.528
11,67.934
12,68.025
13,69.927
14,67.953
15,69.720
16,57.291
17,57.372
18,59.053
19,57.324
20,59.046
21,60.467
22,60.549
23,62.253
24,60.506
25,62.195
26,60.442
27,60.524
28,62.229
29,60.481
30,62.168
31,60.451
32,60.442
33,60.524
34,62.229
35,60.481
36,62.168
37,60.449
38,60.442
39,60.524
40,62.229
41,60.481
42,62.168
43,60.451
44,60.443
45,60.442
46,60.524
47,62.229
48,60.481
49,62.168
50,60.449
51,60.443
52,60.442
53,60.442
54,60.442
55,60.442
56,60.442
57,60.442
58,60.442
59,60.442
60,60.524
61,62.229
62,60.481
63,62.168
64,60.450
65,60.445
66,60.442
67,60.442
68,60.442
69,60.442
70,60.442
71,60.442
72,60.442
73,60.442
74,60.442
75,60.524
76,62.229
77,60.481
78,62.168
79,60.450
80,60.447
81,60.443
82,60.443
83,60.442
84,60.524
85,62.229
86,60.481
87,62.168
88,60.450
89,60.443
90,60.525
91,62.231
92,60.482
93,62.170
94,60.452
95,60.447
96,60.443
97,60.525
98,62.231
99,60.482
100,62.170
101,60.452
102,60.447
103,60.445
104,60.443
105,60.525
106,62.231
107,60.482
108,62.170
109,60.452
110,60.447
111,60.445
112,60.443
113,60.525
114,62.231
115,60.482
116,62.170
117,60.452
118,60.447
119,60.445
120,60.443
121,60.525
122,62.231
123,60.482
124,62.170
125,60.452
126,60.447
127,60.445
128,60.443
129,60.525
130,62.231
131,60.482
132,62.170
133,60.452
134,60.447
135,60.445
136,60.443
137,60.525
138,62.231
139,60.482
140,62.170
141,60.452
142,60.447
143,60.445
144,60.443
145,60.525
146,62.231
147,60.482
148,62.170
149,60.452
150,60.447
151,60.445
152,60.443
153,60.525
154,62.231
155,60.482
156,62.170
157,60.452
158,60.447
159,60.445
160,60.443
161,60.525
162,62.231
163,60.482
164,62.170
