eval_index,objective
1,107.122
2,107.122
3,107.212
4,109.233
5,107.288
6,108.730
7,107.122
8,107.212
9,109.233
10,107.288
11,108.730
12,107.122
13,68.723
14,68.723
15,68.817
16,70.774
17,68.730
18,70.528
19,68.723
20,68.817
21,70.774
22,68.730
23,70.528
24,67.934
25,67.934
26,68.025
27,69.927
28,67.953
29,69.720
30,67.934
31,68.025
32,69.927
33,67.953
34,69.720
35,55.677
36,55.677
37,55.757
38,57.368
39,55.709
40,57.435
41,55.677
42,55.757
43,57.368
44,55.709
45,57.435
46,58.665
47,58.665
48,58.746
49,60.420
50,58.705
51,60.395
52,58.665
53,58.746
54,60.420
55,58.705
56,60.395
57,58.714
58,58.714
59,58.794
60,60.470
61,58.753
62,60.440
63,58.714
64,58.794
65,60.470
66,58.753
67,60.440
68,58.722
69,58.722
70,58.715
71,58.715
72,58.714
73,58.714
74,58.714
75,58.714
76,58.714
77,58.714
78,58.714
79,58.714
80,58.714
81,58.714
82,58.714
83,58.714
84,58.714
85,58.714
86,58.714
87,58.714
88,58.714
89,58.714
90,58.794
91,60.470
92,58.753
93,60.440
94,58.714
95,58.794
96,60.470
97,58.753
98,60.440
99,58.722
100,58.722
101,58.715
102,58.715
103,58.714
104,58.714
105,58.794
106,60.470
107,58.753
108,60.440
109,58.714
110,58.794
111,60.470
112,58.753
113,60.440
114,58.719
115,58.719
116,58.799
117,60.475
118,58.758
119,60.445
120,58.719
121,58.799
122,60.475
123,58.758
124,60.445
125,58.717
126,58.717
