eval_index,objective
1,107.122
2,107.212
3,109.233
4,107.288
5,108.730
6,68.571
7,87.633
8,87.702
9,89.792
10,87.789
11,89.202
12,76.255
13,76.317
14,78.440
15,76.399
16,77.574
17,59.436
18,59.499
19,61.676
20,59.581
21,59.863
22,70.285
23,70.362
24,72.504
25,70.429
26,70.712
27,69.905
28,69.982
29,72.134
30,70.050
31,70.333
32,69.608
33,69.683
34,71.888
35,69.753
36,70.036
37,67.247
38,68.534
39,68.604
40,70.945
41,68.679
42,68.962
43,63.351
44,67.025
45,67.087
46,69.642
47,67.170
48,67.452
49,66.793
50,66.737
51,69.694
52,66.938
53,67.221
54,68.674
55,68.616
56,71.571
57,68.819
58,69.101
59,68.216
60,68.158
61,71.113
62,68.360
63,68.643
64,68.343
65,68.285
66,71.241
67,68.488
68,68.770
69,68.308
70,68.251
71,71.206
72,68.453
73,68.736
74,68.317
