eval_index,objective
1,107.122
2,105.004
3,109.420
4,105.500
5,109.077
6,52.197
7,50.071
8,54.424
9,50.722
10,53.817
11,49.693
12,47.717
13,51.793
14,48.936
15,50.596
16,49.834
17,49.762
18,49.712
19,49.699
20,49.695
21,49.694
22,49.693
23,49.693
24,49.693
25,49.693
26,49.693
27,47.717
28,51.793
29,48.936
30,50.596
31,60.041
32,58.083
33,62.153
34,59.284
35,60.943
36,61.226
37,60.339
38,60.127
39,60.067
40,60.049
41,60.044
42,60.042
43,60.042
44,60.041
45,60.041
46,60.041
47,58.083
48,62.153
49,59.284
50,60.943
51,61.199
52,59.250
53,63.306
54,60.442
55,62.101
56,60.880
57,61.074
58,61.149
59,61.177
60,61.188
61,59.239
62,63.294
63,60.431
64,62.090
65,59.611
66,60.578
67,60.945
68,61.090
69,61.148
70,61.172
71,61.181
72,61.185
73,61.187
74,61.187
75,61.188
