eval_index,objective
1,107.122
2,107.212
3,109.233
4,107.288
5,108.730
6,68.723
7,68.817
8,70.774
9,68.730
10,70.528
11,64.731
12,68.319
13,68.683
14,68.720
15,68.814
16,70.772
17,68.728
18,70.526
19,58.779
20,67.690
21,68.618
22,68.711
23,68.720
24,68.814
25,70.771
26,68.727
27,70.525
28,58.773
29,67.691
30,68.615
31,68.710
32,68.717
33,68.720
34,68.720
35,68.720
36,68.720
37,68.720
38,68.720
39,68.814
40,70.771
41,68.727
42,70.525
43,58.791
44,67.691
45,68.615
46,68.710
47,68.804
48,70.761
49,68.718
50,70.516
51,58.784
52,67.679
53,68.604
54,68.699
55,68.793
56,70.750
57,68.706
58,70.505
59,58.795
60,67.673
61,68.597
62,68.687
63,68.781
64,70.738
65,68.695
66,70.493
67,58.794
