eval_index,objective
1,107.122
2,107.122
3,107.212
4,109.233
5,107.288
6,108.730
7,107.122
8,107.212
9,109.233
10,107.288
11,108.730
12,107.122
13,68.725
14,68.725
15,68.819
16,70.776
17,68.732
18,70.531
19,68.725
20,68.819
21,70.776
22,68.732
23,70.531
24,67.934
25,67.934
26,68.025
27,69.926
28,67.953
29,69.720
30,67.934
31,68.025
32,69.926
33,67.953
34,69.720
35,55.588
36,55.588
37,55.668
38,57.283
39,55.621
40,57.346
41,55.588
42,55.668
43,57.283
44,55.621
45,57.346
46,58.552
47,58.552
48,58.633
49,60.305
50,58.591
51,60.282
52,58.552
53,58.633
54,60.305
55,58.591
56,60.282
57,58.591
58,58.591
59,58.672
60,60.346
61,58.631
62,60.318
63,58.591
64,58.672
65,60.346
66,58.631
67,60.318
68,58.597
69,58.597
70,58.592
71,58.592
72,58.673
73,60.347
74,58.632
75,60.319
76,58.592
77,58.673
78,60.347
79,58.632
80,60.319
81,58.596
82,58.596
83,58.592
84,58.592
85,58.592
86,58.592
87,58.592
88,58.592
89,58.673
90,60.347
91,58.632
92,60.319
93,58.592
94,58.673
95,60.347
96,58.632
97,60.319
98,58.596
99,58.596
