NS ColMember_1.
    ElemID              NF [N]              My [Nmm]            Mz [Nmm]            Vy [N]              Vz [N]              T [N/mm]
         52.     -0.26468450E+04      0.42576245E+03      0.79768597E+03     -0.41393322E+02     -0.15381582E+01      0.14594932E+01
         53.     -0.26468450E+04      0.41038086E+03      0.78309106E+03     -0.41393322E+02     -0.15381582E+01      0.14594932E+01
         54.     -0.26468450E+04      0.39499927E+03      0.76849615E+03     -0.41393322E+02     -0.15381582E+01      0.14594932E+01
         55.     -0.26468450E+04      0.37961771E+03      0.75390118E+03     -0.41393322E+02     -0.15381582E+01      0.14594932E+01
         56.     -0.26468450E+04      0.36423611E+03      0.73930627E+03     -0.41393322E+02     -0.15381582E+01      0.14594932E+01
         57.     -0.26468450E+04      0.34885452E+03      0.72471130E+03     -0.41393322E+02     -0.15381582E+01      0.14594932E+01
         58.     -0.26468450E+04      0.33347296E+03      0.71011639E+03     -0.41393322E+02     -0.15381582E+01      0.14594932E+01
         59.     -0.26468450E+04      0.31809137E+03      0.69552148E+03     -0.41393322E+02     -0.15381582E+01      0.14594932E+01
         60.     -0.26468450E+04      0.30270978E+03      0.68092651E+03     -0.41393322E+02     -0.15381582E+01      0.14594932E+01
         61.     -0.26468450E+04      0.28732822E+03      0.66633160E+03     -0.41393322E+02     -0.15381582E+01      0.14594932E+01
         62.     -0.26468450E+04      0.27194662E+03      0.65173669E+03     -0.41393322E+02     -0.15381582E+01      0.14594932E+01
         63.     -0.26468450E+04      0.25656503E+03      0.63714172E+03     -0.41393322E+02     -0.15381582E+01      0.14594932E+01
         64.     -0.26468450E+04      0.24118346E+03      0.62254681E+03     -0.41393322E+02     -0.15381582E+01      0.14594932E+01
         65.     -0.26468450E+04      0.22580188E+03      0.60795190E+03     -0.41393322E+02     -0.15381582E+01      0.14594932E+01
         66.     -0.26468450E+04      0.21042029E+03      0.59335693E+03     -0.41393322E+02     -0.15381582E+01      0.14594932E+01
         67.     -0.26468450E+04      0.19503871E+03      0.57876202E+03     -0.41393322E+02     -0.15381582E+01      0.14594932E+01
         68.     -0.26468450E+04      0.17965714E+03      0.56416705E+03     -0.41393322E+02     -0.15381582E+01      0.14594932E+01
         69.     -0.26468450E+04      0.16427554E+03      0.54957214E+03     -0.41393322E+02     -0.15381582E+01      0.14594932E+01
         70.     -0.26468450E+04      0.14889397E+03      0.53497723E+03     -0.41393322E+02     -0.15381582E+01      0.14594932E+01
         71.     -0.26468450E+04      0.13351237E+03      0.52038226E+03     -0.41393322E+02     -0.15381582E+01      0.14594932E+01
         72.     -0.26468450E+04      0.11813080E+03      0.50578735E+03     -0.41393322E+02     -0.15381582E+01      0.14594932E+01
         73.     -0.26468450E+04      0.10274921E+03      0.49119241E+03     -0.41393322E+02     -0.15381582E+01      0.14594932E+01
         74.     -0.26468450E+04      0.87367638E+02      0.47659750E+03     -0.41393322E+02     -0.15381582E+01      0.14594932E+01
         75.     -0.26468450E+04      0.71986053E+02      0.46200256E+03     -0.41393322E+02     -0.15381582E+01      0.14594932E+01
         76.     -0.26468450E+04      0.56604469E+02      0.44740762E+03     -0.41393322E+02     -0.15381582E+01      0.14594932E+01
