Optimization Data
 
Start time: 2026-05-18 19:32:40 
 
Solver Options:
Method: Self-Written-slp_mvp 
# acc: 0.001 
# finite_diff_abs_step: [1.149149, 0.249616, 0.022773500000000002, 0.2416765, 0.019098] 
# maxiter: 150 
# Aggregate: None 
# p_value: 8 
# rho_value: 100 
# relaxation: 0 
# move_limit: 0.1 
# backtrack_max: 8 
# feasibility_tol: 1e-05 
# penalty_weight: 1 
Design Variables and Bounds 
# x0 = [229.83, 49.92, 4.55, 48.34, 3.82]
 x[0] (rad) bounds = [150.0, 350.0] 
 x[1] (d0) bounds = [48.3, 108.0] 
 x[2] (t0) bounds = [2.5, 5.0] 
 x[3] (d1) bounds = [25.0, 60.0] 
 x[4] (t1) bounds = [2.0, 6.0] 


iteration,eval_index,objective,x0,x1,x2,x3,x4,g_max,v_agg,c_val,seg_mass1,seg_mass2,seg_mass3,seg_mass4,seg_mass5
0, 1, 198.98, 229.83 ,49.92 ,4.55 ,48.34 ,3.82, NA, NA, NA, 39.798,39.767,39.767,39.767,40.199
1, 2, 199.56, 230.98 ,49.92 ,4.55 ,48.34 ,3.82, NA, NA, NA, 39.913,39.883,39.883,39.883,40.315
1, 3, 199.32, 229.83 ,50.17 ,4.55 ,48.34 ,3.82, NA, NA, NA, 39.866,39.835,39.835,39.835,40.270
1, 4, 199.26, 229.83 ,49.92 ,4.58 ,48.34 ,3.82, NA, NA, NA, 39.853,39.823,39.823,39.823,40.257
1, 5, 199.73, 229.83 ,49.92 ,4.55 ,48.58 ,3.82, NA, NA, NA, 39.946,39.916,39.916,39.916,40.348
1, 6, 199.61, 229.83 ,49.92 ,4.55 ,48.34 ,3.84, NA, NA, NA, 39.923,39.892,39.892,39.892,40.324
1, 7, 179.01, 219.83 ,48.30 ,4.43 ,46.59 ,3.62, NA, NA, NA, 35.804,35.775,35.775,35.775,36.181
2, 8, 179.54, 220.98 ,48.30 ,4.43 ,46.59 ,3.62, NA, NA, NA, 35.909,35.880,35.880,35.880,36.286
2, 9, 179.35, 219.83 ,48.55 ,4.43 ,46.59 ,3.62, NA, NA, NA, 35.870,35.841,35.841,35.841,36.250
2, 10, 179.28, 219.83 ,48.30 ,4.45 ,46.59 ,3.62, NA, NA, NA, 35.858,35.829,35.829,35.829,36.237
