Optimization Data
 
Start time: 2026-05-18 18:01:40 
 
Solver Options:
Method: Self-Written-slp_mvp 
# acc: 0.001 
# finite_diff_abs_step: [0.900329, 0.4097095, 0.013101000000000002, 0.1819885, 0.022728500000000002] 
# maxiter: 150 
# Aggregate: None 
# p_value: 8 
# rho_value: 100 
# relaxation: 0 
# move_limit: 0.1 
# backtrack_max: 8 
# feasibility_tol: 1e-05 
# penalty_weight: 1 
Design Variables and Bounds 
# x0 = [180.07, 81.94, 2.62, 36.40, 4.55]
 x[0] (rad) bounds = [150.0, 350.0] 
 x[1] (d0) bounds = [48.3, 108.0] 
 x[2] (t0) bounds = [2.5, 5.0] 
 x[3] (d1) bounds = [25.0, 60.0] 
 x[4] (t1) bounds = [2.0, 6.0] 


iteration,eval_index,objective,x0,x1,x2,x3,x4,g_max,v_agg,c_val,seg_mass1,seg_mass2,seg_mass3,seg_mass4,seg_mass5
0, 1, 158.04, 180.07 ,81.94 ,2.62 ,36.40 ,4.55, NA, NA, NA, 31.609,31.578,31.578,31.578,32.012
1, 2, 158.41, 180.97 ,81.94 ,2.62 ,36.40 ,4.55, NA, NA, NA, 31.683,31.652,31.652,31.652,32.087
1, 3, 158.36, 180.07 ,82.35 ,2.62 ,36.40 ,4.55, NA, NA, NA, 31.673,31.642,31.642,31.642,32.079
1, 4, 158.34, 180.07 ,81.94 ,2.63 ,36.40 ,4.55, NA, NA, NA, 31.669,31.638,31.638,31.638,32.075
1, 5, 158.58, 180.07 ,81.94 ,2.62 ,36.58 ,4.55, NA, NA, NA, 31.718,31.687,31.687,31.687,32.122
1, 6, 158.45, 180.07 ,81.94 ,2.62 ,36.40 ,4.57, NA, NA, NA, 31.691,31.660,31.660,31.660,32.094
1, 7, 140.62, 170.07 ,78.96 ,2.50 ,34.65 ,4.35, NA, NA, NA, 28.125,28.097,28.097,28.097,28.496
2, 8, 140.96, 170.97 ,78.96 ,2.50 ,34.65 ,4.35, NA, NA, NA, 28.192,28.164,28.164,28.164,28.563
2, 9, 140.93, 170.07 ,79.37 ,2.50 ,34.65 ,4.35, NA, NA, NA, 28.186,28.158,28.158,28.158,28.560
2, 10, 140.91, 170.07 ,78.96 ,2.51 ,34.65 ,4.35, NA, NA, NA, 28.183,28.155,28.155,28.155,28.556
2, 11, 141.12, 170.07 ,78.96 ,2.50 ,34.83 ,4.35, NA, NA, NA, 28.225,28.197,28.197,28.197,28.596
2, 12, 140.99, 170.07 ,78.96 ,2.50 ,34.65 ,4.37, NA, NA, NA, 28.199,28.171,28.171,28.171,28.571
2, 13, 125.84, 159.07 ,75.67 ,2.50 ,32.72 ,4.13, NA, NA, NA, 25.168,25.141,25.141,25.141,25.524
3, 14, 126.13, 159.97 ,75.67 ,2.50 ,32.72 ,4.13, NA, NA, NA, 25.228,25.201,25.201,25.201,25.583
