Optimization Data
 
Start time: 2026-05-18 18:21:15 
 
Solver Options:
Method: Self-Written-slp_mvp 
# acc: 0.001 
# finite_diff_abs_step: [1.057169, 0.47983950000000003, 0.023701, 0.162754, 0.0272065] 
# maxiter: 150 
# Aggregate: None 
# p_value: 8 
# rho_value: 100 
# relaxation: 0 
# move_limit: 0.1 
# backtrack_max: 8 
# feasibility_tol: 1e-05 
# penalty_weight: 1 
Design Variables and Bounds 
# x0 = [211.43, 95.97, 4.74, 32.55, 5.44]
 x[0] (rad) bounds = [150.0, 350.0] 
 x[1] (d0) bounds = [48.3, 108.0] 
 x[2] (t0) bounds = [2.5, 5.0] 
 x[3] (d1) bounds = [25.0, 60.0] 
 x[4] (t1) bounds = [2.0, 6.0] 


iteration,eval_index,objective,x0,x1,x2,x3,x4,g_max,v_agg,c_val,seg_mass1,seg_mass2,seg_mass3,seg_mass4,seg_mass5
0, 1, 240.63, 211.43 ,95.97 ,4.74 ,32.55 ,5.44, NA, NA, NA, 48.128,48.064,48.064,48.064,48.968
1, 2, 241.08, 212.49 ,95.97 ,4.74 ,32.55 ,5.44, NA, NA, NA, 48.219,48.155,48.155,48.155,49.059
1, 3, 241.31, 211.43 ,96.45 ,4.74 ,32.55 ,5.44, NA, NA, NA, 48.264,48.200,48.200,48.200,49.109
1, 4, 241.24, 211.43 ,95.97 ,4.76 ,32.55 ,5.44, NA, NA, NA, 48.251,48.187,48.187,48.187,49.095
1, 5, 241.29, 211.43 ,95.97 ,4.74 ,32.71 ,5.44, NA, NA, NA, 48.261,48.197,48.197,48.197,49.101
1, 6, 241.07, 211.43 ,95.97 ,4.74 ,32.55 ,5.47, NA, NA, NA, 48.216,48.152,48.152,48.152,49.056
1, 7, 219.16, 201.43 ,92.98 ,4.62 ,30.80 ,5.24, NA, NA, NA, 43.834,43.774,43.774,43.774,44.626
2, 8, 219.57, 202.49 ,92.98 ,4.62 ,30.80 ,5.24, NA, NA, NA, 43.916,43.856,43.856,43.856,44.709
2, 9, 219.82, 201.43 ,93.46 ,4.62 ,30.80 ,5.24, NA, NA, NA, 43.967,43.906,43.906,43.906,44.764
2, 10, 219.76, 201.43 ,92.98 ,4.64 ,30.80 ,5.24, NA, NA, NA, 43.953,43.893,43.893,43.893,44.749
2, 11, 219.78, 201.43 ,92.98 ,4.62 ,30.96 ,5.24, NA, NA, NA, 43.957,43.897,43.897,43.897,44.750
2, 12, 219.56, 201.43 ,92.98 ,4.62 ,30.80 ,5.27, NA, NA, NA, 43.914,43.854,43.854,43.854,44.706
2, 13, 197.23, 190.43 ,89.70 ,4.48 ,28.88 ,5.02, NA, NA, NA, 39.447,39.391,39.391,39.391,40.189
3, 14, 197.59, 191.49 ,89.70 ,4.48 ,28.88 ,5.02, NA, NA, NA, 39.520,39.464,39.464,39.464,40.262
3, 15, 197.87, 190.43 ,90.18 ,4.48 ,28.88 ,5.02, NA, NA, NA, 39.576,39.520,39.520,39.520,40.322
