Optimization Data
 
Start time: 2026-05-18 19:54:03 
 
Solver Options:
Method: Self-Written-slp_mvp 
# acc: 0.001 
# finite_diff_abs_step: [1.5764505, 0.294376, 0.0176615, 0.21368800000000002, 0.017524] 
# maxiter: 150 
# Aggregate: None 
# p_value: 8 
# rho_value: 100 
# relaxation: 0 
# move_limit: 0.1 
# backtrack_max: 8 
# feasibility_tol: 1e-05 
# penalty_weight: 1 
Design Variables and Bounds 
# x0 = [315.29, 58.88, 3.53, 42.74, 3.50]
 x[0] (rad) bounds = [150.0, 350.0] 
 x[1] (d0) bounds = [48.3, 108.0] 
 x[2] (t0) bounds = [2.5, 5.0] 
 x[3] (d1) bounds = [25.0, 60.0] 
 x[4] (t1) bounds = [2.0, 6.0] 


iteration,eval_index,objective,x0,x1,x2,x3,x4,g_max,v_agg,c_val,seg_mass1,seg_mass2,seg_mass3,seg_mass4,seg_mass5
0, 1, 204.79, 315.29 ,58.88 ,3.53 ,42.74 ,3.50, NA, NA, NA, 40.960,40.931,40.931,40.931,41.339
1, 2, 205.45, 316.87 ,58.88 ,3.53 ,42.74 ,3.50, NA, NA, NA, 41.092,41.063,41.063,41.063,41.472
1, 3, 205.10, 315.29 ,59.17 ,3.53 ,42.74 ,3.50, NA, NA, NA, 41.022,40.993,40.993,40.993,41.404
1, 4, 205.07, 315.29 ,58.88 ,3.55 ,42.74 ,3.50, NA, NA, NA, 41.014,40.985,40.985,40.985,41.396
1, 5, 205.59, 315.29 ,58.88 ,3.53 ,42.95 ,3.50, NA, NA, NA, 41.119,41.090,41.090,41.090,41.498
1, 6, 205.46, 315.29 ,58.88 ,3.53 ,42.74 ,3.52, NA, NA, NA, 41.093,41.064,41.064,41.064,41.472
1, 7, 182.21, 305.29 ,55.89 ,3.41 ,40.99 ,3.30, NA, NA, NA, 36.444,36.417,36.417,36.417,36.791
2, 8, 182.81, 306.87 ,55.89 ,3.41 ,40.99 ,3.30, NA, NA, NA, 36.563,36.537,36.537,36.537,36.911
2, 9, 182.52, 305.29 ,56.18 ,3.41 ,40.99 ,3.30, NA, NA, NA, 36.504,36.477,36.477,36.477,36.853
2, 10, 182.47, 305.29 ,55.89 ,3.42 ,40.99 ,3.30, NA, NA, NA, 36.496,36.469,36.469,36.469,36.845
