Optimization Data
 
Start time: 2026-05-18 21:18:04 
 
Solver Options:
Method: Self-Written-slp_mvp 
# acc: 0.001 
# finite_diff_abs_step: [0.798257, 0.38365000000000005, 0.018108, 0.1555385, 0.025352000000000003] 
# maxiter: 150 
# Aggregate: None 
# p_value: 8 
# rho_value: 100 
# relaxation: 0 
# move_limit: 0.1 
# backtrack_max: 8 
# feasibility_tol: 1e-05 
# penalty_weight: 1 
Design Variables and Bounds 
# x0 = [159.65, 76.73, 3.62, 31.11, 5.07]
 x[0] (rad) bounds = [150.0, 350.0] 
 x[1] (d0) bounds = [48.3, 108.0] 
 x[2] (t0) bounds = [2.5, 5.0] 
 x[3] (d1) bounds = [25.0, 60.0] 
 x[4] (t1) bounds = [2.0, 6.0] 


iteration,eval_index,objective,x0,x1,x2,x3,x4,g_max,v_agg,c_val,seg_mass1,seg_mass2,seg_mass3,seg_mass4,seg_mass5
0, 1, 159.05, 159.65 ,76.73 ,3.62 ,31.11 ,5.07, NA, NA, NA, 31.812,31.773,31.773,31.773,32.326
1, 2, 159.35, 160.45 ,76.73 ,3.62 ,31.11 ,5.07, NA, NA, NA, 31.871,31.832,31.832,31.832,32.385
1, 3, 159.47, 159.65 ,77.11 ,3.62 ,31.11 ,5.07, NA, NA, NA, 31.895,31.856,31.856,31.856,32.412
1, 4, 159.43, 159.65 ,76.73 ,3.64 ,31.11 ,5.07, NA, NA, NA, 31.888,31.848,31.848,31.848,32.404
1, 5, 159.53, 159.65 ,76.73 ,3.62 ,31.26 ,5.07, NA, NA, NA, 31.907,31.868,31.868,31.868,32.421
1, 6, 159.37, 159.65 ,76.73 ,3.62 ,31.11 ,5.10, NA, NA, NA, 31.876,31.837,31.837,31.837,32.390
1, 7, 142.41, 150.00 ,73.75 ,3.50 ,29.36 ,4.87, NA, NA, NA, 28.483,28.446,28.446,28.446,28.960
2, 8, 142.67, 150.80 ,73.75 ,3.50 ,29.36 ,4.87, NA, NA, NA, 28.536,28.499,28.499,28.499,29.013
2, 9, 142.81, 150.00 ,74.13 ,3.50 ,29.36 ,4.87, NA, NA, NA, 28.563,28.527,28.527,28.527,29.043
2, 10, 142.77, 150.00 ,73.75 ,3.51 ,29.36 ,4.87, NA, NA, NA, 28.555,28.519,28.519,28.519,29.035
2, 11, 142.84, 150.00 ,73.75 ,3.50 ,29.51 ,4.87, NA, NA, NA, 28.570,28.534,28.534,28.534,29.047
2, 12, 142.69, 150.00 ,73.75 ,3.50 ,29.36 ,4.90, NA, NA, NA, 28.540,28.504,28.504,28.504,29.017
2, 13, 128.67, 150.00 ,70.46 ,3.36 ,27.43 ,4.65, NA, NA, NA, 25.735,25.701,25.701,25.701,26.173
3, 14, 128.90, 150.80 ,70.46 ,3.36 ,27.43 ,4.65, NA, NA, NA, 25.782,25.748,25.748,25.748,26.219
3, 15, 129.05, 150.00 ,70.85 ,3.36 ,27.43 ,4.65, NA, NA, NA, 25.812,25.778,25.778,25.778,26.252
3, 16, 129.01, 150.00 ,70.46 ,3.38 ,27.43 ,4.65, NA, NA, NA, 25.804,25.770,25.770,25.770,26.244
3, 17, 129.08, 150.00 ,70.46 ,3.36 ,27.59 ,4.65, NA, NA, NA, 25.818,25.785,25.785,25.785,26.256
3, 18, 128.93, 150.00 ,70.46 ,3.36 ,27.43 ,4.68, NA, NA, NA, 25.788,25.754,25.754,25.754,26.225
3, 19, 114.35, 150.00 ,66.85 ,3.21 ,25.32 ,4.41, NA, NA, NA, 22.872,22.841,22.841,22.841,23.268
4, 20, 114.56, 150.80 ,66.85 ,3.21 ,25.32 ,4.41, NA, NA, NA, 22.912,22.882,22.882,22.882,23.309
4, 21, 114.72, 150.00 ,67.23 ,3.21 ,25.32 ,4.41, NA, NA, NA, 22.945,22.915,22.915,22.915,23.344
4, 22, 114.68, 150.00 ,66.85 ,3.23 ,25.32 ,4.41, NA, NA, NA, 22.937,22.907,22.907,22.907,23.336
4, 23, 114.75, 150.00 ,66.85 ,3.21 ,25.47 ,4.41, NA, NA, NA, 22.951,22.920,22.920,22.920,23.347
4, 24, 114.59, 150.00 ,66.85 ,3.21 ,25.32 ,4.43, NA, NA, NA, 22.920,22.889,22.889,22.889,23.316
4, 25, 111.18, 150.03 ,70.32 ,3.04 ,25.00 ,4.14, NA, NA, NA, 22.236,22.206,22.206,22.206,22.634
5, 26, 111.37, 150.83 ,70.32 ,3.04 ,25.00 ,4.14, NA, NA, NA, 22.275,22.245,22.245,22.245,22.672
5, 27, 111.53, 150.03 ,70.70 ,3.04 ,25.00 ,4.14, NA, NA, NA, 22.307,22.276,22.276,22.276,22.706
5, 28, 111.53, 150.03 ,70.32 ,3.06 ,25.00 ,4.14, NA, NA, NA, 22.306,22.276,22.276,22.276,22.706
5, 29, 111.55, 150.03 ,70.32 ,3.04 ,25.16 ,4.14, NA, NA, NA, 22.311,22.280,22.280,22.280,22.708
5, 30, 111.42, 150.03 ,70.32 ,3.04 ,25.00 ,4.17, NA, NA, NA, 22.285,22.255,22.255,22.255,22.683
5, 31, 108.41, 150.04 ,70.93 ,3.02 ,25.00 ,3.85, NA, NA, NA, 21.682,21.652,21.652,21.652,22.080
6, 32, 108.59, 150.84 ,70.93 ,3.02 ,25.00 ,3.85, NA, NA, NA, 21.718,21.688,21.688,21.688,22.117
6, 33, 108.75, 150.04 ,71.31 ,3.02 ,25.00 ,3.85, NA, NA, NA, 21.752,21.721,21.721,21.721,22.152
6, 34, 108.76, 150.04 ,70.93 ,3.04 ,25.00 ,3.85, NA, NA, NA, 21.753,21.722,21.722,21.722,22.153
6, 35, 108.75, 150.04 ,70.93 ,3.02 ,25.16 ,3.85, NA, NA, NA, 21.751,21.721,21.721,21.721,22.149
6, 36, 108.66, 150.04 ,70.93 ,3.02 ,25.00 ,3.87, NA, NA, NA, 21.733,21.703,21.703,21.703,22.131
6, 37, 105.14, 150.06 ,70.92 ,3.02 ,25.00 ,3.53, NA, NA, NA, 21.028,20.998,20.998,20.998,21.426
7, 38, 105.30, 150.86 ,70.92 ,3.02 ,25.00 ,3.53, NA, NA, NA, 21.062,21.032,21.032,21.032,21.460
7, 39, 105.48, 150.06 ,71.30 ,3.02 ,25.00 ,3.53, NA, NA, NA, 21.098,21.067,21.067,21.067,21.498
7, 40, 105.49, 150.06 ,70.92 ,3.04 ,25.00 ,3.53, NA, NA, NA, 21.099,21.068,21.068,21.068,21.499
7, 41, 105.45, 150.06 ,70.92 ,3.02 ,25.16 ,3.53, NA, NA, NA, 21.091,21.061,21.061,21.061,21.490
7, 42, 105.40, 150.06 ,70.92 ,3.02 ,25.00 ,3.55, NA, NA, NA, 21.081,21.050,21.050,21.050,21.479
7, 43, 101.37, 150.08 ,70.90 ,3.02 ,25.00 ,3.17, NA, NA, NA, 20.275,20.244,20.244,20.244,20.672
8, 44, 101.52, 150.87 ,70.90 ,3.02 ,25.00 ,3.17, NA, NA, NA, 20.305,20.275,20.275,20.275,20.703
8, 45, 101.72, 150.08 ,71.28 ,3.02 ,25.00 ,3.17, NA, NA, NA, 20.344,20.314,20.314,20.314,20.744
8, 46, 101.72, 150.08 ,70.90 ,3.04 ,25.00 ,3.17, NA, NA, NA, 20.345,20.315,20.315,20.315,20.745
8, 47, 101.65, 150.08 ,70.90 ,3.02 ,25.16 ,3.17, NA, NA, NA, 20.331,20.301,20.301,20.301,20.729
8, 48, 101.64, 150.08 ,70.90 ,3.02 ,25.00 ,3.20, NA, NA, NA, 20.329,20.299,20.299,20.299,20.727
8, 49, 97.07, 150.10 ,70.89 ,3.02 ,25.00 ,2.78, NA, NA, NA, 19.416,19.386,19.386,19.386,19.814
9, 50, 97.21, 150.89 ,70.89 ,3.02 ,25.00 ,2.78, NA, NA, NA, 19.443,19.413,19.413,19.413,19.841
9, 51, 97.42, 150.10 ,71.27 ,3.02 ,25.00 ,2.78, NA, NA, NA, 19.485,19.455,19.455,19.455,19.885
9, 52, 97.43, 150.10 ,70.89 ,3.03 ,25.00 ,2.78, NA, NA, NA, 19.486,19.456,19.456,19.456,19.886
9, 53, 97.32, 150.10 ,70.89 ,3.02 ,25.16 ,2.78, NA, NA, NA, 19.466,19.435,19.435,19.435,19.863
9, 54, 97.36, 150.10 ,70.89 ,3.02 ,25.00 ,2.81, NA, NA, NA, 19.473,19.442,19.442,19.442,19.870
9, 55, 92.49, 150.12 ,70.88 ,3.02 ,25.00 ,2.38, NA, NA, NA, 18.500,18.469,18.469,18.469,18.897
