t	F	F_Cor	x						
165,00	3780	37800	0,096690500						
166,00	3780	37800	0,100105200						
167,00	3790	37900	0,101723000						
168,00	3820	38200	0,102295400						
169,00	3820	38200	0,102943000						
170,00	3820	38200	0,103170900						
171,00	3820	38200	0,103670000						
172,00	3820	38200	0,106728500						
173,00	3880	38800	0,107710500						
174,00	3920	39200	0,106909300						
175,00	3930	39300	0,106403800						
176,00	3930	39300	0,106002000						
177,00	3930	39300	0,105616400						
178,00	3930	39300	0,106114100						
179,00	3930	39300	0,110015200						
180,00	4000	40000	0,111773900						
181,00	4030	40300	0,112799700						
182,00	4030	40300	0,113425900						
183,00	4030	40300	0,113739900						
184,00	4080	40800	0,115564100						
185,00	4130	41300	0,120366900						
186,00	4170	41700	0,123170000						
187,00	4180	41800	0,123111000						
188,00	4180	41800	0,123856900						
189,00	4180	41800	0,123729800						
190,00	4180	41800	0,124057000						
191,00	4180	41800	0,124495100						
192,00	4170	41700	0,124684600						
193,00	4240	42400	0,127723900						
194,00	4270	42700	0,128629800						
195,00	4280	42800	0,128144300						
196,00	4280	42800	0,127658600						
197,00	4280	42800	0,126682200						
198,00	4310	43100	0,127593200						
199,00	4350	43500	0,132626000						
200,00	4400	44000	0,134914100						
201,00	4400	44000	0,134765500						
202,00	4400	44000	0,135203900						
203,00	4400	44000	0,135153400						
204,00	4400	44000	0,133973300						
205,00	4410	44100	0,139011000						
206,00	4480	44800	0,140833100						
207,00	4490	44900	0,142505700						
208,00	4500	45000	0,143345100						
209,00	4500	45000	0,143140900						
210,00	4490	44900	0,143643400						
211,00	4480	44800	0,144570900						
212,00	4480	44800	0,145066900						
213,00	4470	44700	0,145179400						
214,00	4470	44700	0,144972100						
215,00	4460	44600	0,144815600						
216,00	4460	44600	0,144842600						
217,00	4460	44600	0,144750000						
218,00	4450	44500	0,144686300						
219,00	4450	44500	0,144850100						
220,00	4450	44500	0,146046600						
221,00	4470	44700	0,149275500						
222,00	4550	45500	0,148386100						
223,00	4580	45800	0,148064300						
224,00	4560	45600	0,146558500						
225,00	4560	45600	0,146708800						
226,00	4580	45800	0,147001900						
227,00	4570	45700	0,149232500						
228,00	4640	46400	0,152555100						
229,00	4660	46600	0,153870600						
230,00	4670	46700	0,154499000						
231,00	4670	46700	0,154846200						
232,00	4660	46600	0,154995500						
233,00	4650	46500	0,155253300						
234,00	4650	46500	0,155148800						
235,00	4640	46400	0,155372200						
236,00	4640	46400	0,155657700						
237,00	4640	46400	0,155953700						
238,00	4630	46300	0,155994800						
239,00	4630	46300	0,155808100						
240,00	4630	46300	0,155620100						
241,00	4630	46300	0,155531400						
242,00	4620	46200	0,155600600						
243,00	4620	46200	0,155823900						
244,00	4620	46200	0,155358900						
245,00	4620	46200	0,155817300						
246,00	4620	46200	0,155867400						
247,00	4620	46200	0,155669200						
248,00	4610	46100	0,155697600						
249,00	4610	46100	0,155447500						
250,00	4610	46100	0,155645100						
251,00	4610	46100	0,155389200						
252,00	4610	46100	0,155605900						
253,00	4610	46100	0,155539100						
254,00	4610	46100	0,155476900						
255,00	4610	46100	0,155195100						
256,00	4600	46000	0,155490800						
257,00	4600	46000	0,155447300						
258,00	4600	46000	0,155512600						
259,00	4600	46000	0,155515800						
260,00	4600	46000	0,155506800						
261,00	4600	46000	0,155380200						
262,00	4600	46000	0,155150400						
263,00	4600	46000	0,155579000						
264,00	4600	46000	0,155717100						
265,00	4600	46000	0,155462800						
266,00	4600	46000	0,156106400						
267,00	4590	45900	0,155298800						
268,00	4590	45900	0,155561800						
269,00	4590	45900	0,155894600						
270,00	4590	45900	0,155998100						
271,00	4590	45900	0,155818800						
272,00	4590	45900	0,155935000						
273,00	4590	45900	0,155875400						
274,00	4590	45900	0,155790000						
275,00	4590	45900	0,155808900						
276,00	4590	45900	0,155875200						
277,00	4590	45900	0,155885500						
278,00	4590	45900	0,155963300						
279,00	4590	45900	0,156224700						
280,00	4590	45900	0,156274300						
281,00	4590	45900	0,156277500						
282,00	4580	45800	0,156375800						
283,00	4580	45800	0,156331200						
284,00	4580	45800	0,156185900						
285,00	4580	45800	0,156309900						
286,00	4580	45800	0,156311300						
287,00	4580	45800	0,156099500						
288,00	4580	45800	0,155503700						
289,00	4580	45800	0,155455800						
290,00	4580	45800	0,155710900						
291,00	4580	45800	0,155904100						
292,00	4580	45800	0,155867300						
293,00	4580	45800	0,155572200						
294,00	4580	45800	0,155745000						
295,00	4580	45800	0,155613700						
296,00	4580	45800	0,155704300						
297,00	4580	45800	0,155772100						
298,00	4580	45800	0,155623600						
299,00	4580	45800	0,156145500						
300,00	4580	45800	0,156098800						
301,00	4580	45800	0,155869300						
302,00	4580	45800	0,155908600						
303,00	4570	45700	0,156016800						
304,00	4570	45700	0,156068400						
305,00	4570	45700	0,155854600						
306,00	4570	45700	0,155667600						
307,00	4570	45700	0,155651600						
308,00	4570	45700	0,155828100						
309,00	4570	45700	0,156000900						
310,00	4570	45700	0,155863200						
311,00	4570	45700	0,155948000						
312,00	4570	45700	0,155599800						
313,00	4570	45700	0,155857200						
314,00	4570	45700	0,156140500						
315,00	4570	45700	0,155808500						
316,00	4570	45700	0,156041800						
317,00	4570	45700	0,156028200						
318,00	4570	45700	0,156099400						
319,00	4570	45700	0,155963000						
320,00	4570	45700	0,155691300						
321,00	4570	45700	0,155698200						
322,00	4570	45700	0,155291200						
323,00	4570	45700	0,155275200						
324,00	4570	45700	0,155466300						
325,00	4570	45700	0,155631900						
326,00	4570	45700	0,155755000						
327,00	4570	45700	0,155817400						
328,00	4570	45700	0,155632400						
329,00	4570	45700	0,154282100						
330,00	4570	45700	0,155677300						
331,00	4570	45700	0,155626300						
332,00	4570	45700	0,157067100						
333,00	4570	45700	0,158270100						
334,00	4650	46500	0,162238700						
335,00	4720	47200	0,161272400						
336,00	4740	47400	0,162659200						
337,00	4740	47400	0,164775800						
338,00	4740	47400	0,164501100						
339,00	4740	47400	0,165206400						
340,00	4760	47600	0,168867100						
341,00	4790	47900	0,173500500						
342,00	4850	48500	0,174505800						
343,00	4860	48600	0,174829600						
344,00	4850	48500	0,175328400						
345,00	4850	48500	0,176181900						
346,00	4840	48400	0,175748200						
347,00	4830	48300	0,175771300						
348,00	4830	48300	0,175830400						
349,00	4830	48300	0,175910700						
350,00	4820	48200	0,175714400						
351,00	4820	48200	0,175923900						
352,00	4820	48200	0,175749800						
353,00	4820	48200	0,175269600						
354,00	4810	48100	0,175774500						
355,00	4810	48100	0,175739500						
356,00	4810	48100	0,175748800						
357,00	4810	48100	0,175769300						
358,00	4810	48100	0,175711500						
359,00	4800	48000	0,176753400						
360,00	4850	48500	0,181216200						
361,00	4890	48900	0,183025900						
362,00	4930	49300	0,183975200						
363,00	4930	49300	0,184474300						
364,00	4920	49200	0,184980100						
365,00	4920	49200	0,185144600						
366,00	4910	49100	0,185489800						
367,00	4910	49100	0,185298900						
368,00	4910	49100	0,185618400						
369,00	4900	49000	0,185701600						
370,00	4910	49100	0,187475100						
371,00	4940	49400	0,190186300						
372,00	4990	49900	0,189114200						
373,00	4990	49900	0,188483900						
374,00	4990	49900	0,188002100						
375,00	4980	49800	0,187532500						
376,00	4980	49800	0,187225800						
377,00	4970	49700	0,189220200						
378,00	5000	50000	0,192408600						
379,00	5060	50600	0,193787700						
380,00	5050	50500	0,194404900						
381,00	5040	50400	0,195038500						
382,00	5040	50400	0,195224800						
383,00	5030	50300	0,195494500						
384,00	5030	50300	0,195700200						
385,00	5020	50200	0,195615100						
386,00	5020	50200	0,195651300						
387,00	5020	50200	0,195803200						
388,00	5010	50100	0,195654400						
389,00	5010	50100	0,195938600						
390,00	5010	50100	0,197412400						
391,00	5040	50400	0,201097400						
392,00	5110	51100	0,200193000						
393,00	5120	51200	0,199574000						
