Optimization Data
 
Start time: 2026-05-18 22:11:42 
 
Solver Options:
Method: Self-Written-slp_mvp 
# acc: 0.001 
# finite_diff_abs_step: [1.4291569999999998, 0.517553, 0.0226, 0.251724, 0.02198] 
# maxiter: 150 
# Aggregate: None 
# p_value: 8 
# rho_value: 100 
# relaxation: 0 
# move_limit: 0.1 
# backtrack_max: 8 
# feasibility_tol: 1e-05 
# penalty_weight: 1 
Design Variables and Bounds 
# x0 = [285.83, 103.51, 4.52, 50.34, 4.40]
 x[0] (rad) bounds = [150.0, 350.0] 
 x[1] (d0) bounds = [48.3, 108.0] 
 x[2] (t0) bounds = [2.5, 5.0] 
 x[3] (d1) bounds = [25.0, 60.0] 
 x[4] (t1) bounds = [2.0, 6.0] 


iteration,eval_index,objective,x0,x1,x2,x3,x4,g_max,v_agg,c_val,seg_mass1,seg_mass2,seg_mass3,seg_mass4,seg_mass5
7, 40, 154.67, 208.68 ,80.48 ,3.58 ,36.84 ,2.85, NA, NA, NA, 30.935,30.894,30.894,30.894,31.469
7, 41, 154.70, 208.68 ,80.48 ,3.56 ,37.09 ,2.85, NA, NA, NA, 30.942,30.901,30.901,30.901,31.473
7, 42, 154.68, 208.68 ,80.48 ,3.56 ,36.84 ,2.87, NA, NA, NA, 30.937,30.896,30.896,30.896,31.468
7, 43, 125.92, 190.96 ,75.19 ,3.33 ,33.74 ,2.50, NA, NA, NA, 25.185,25.150,25.150,25.150,25.651
8, 44, 126.24, 192.39 ,75.19 ,3.33 ,33.74 ,2.50, NA, NA, NA, 25.250,25.214,25.214,25.214,25.715
8, 45, 126.44, 190.96 ,75.71 ,3.33 ,33.74 ,2.50, NA, NA, NA, 25.289,25.253,25.253,25.253,25.758
8, 46, 126.39, 190.96 ,75.19 ,3.36 ,33.74 ,2.50, NA, NA, NA, 25.278,25.243,25.243,25.243,25.747
8, 47, 126.36, 190.96 ,75.19 ,3.33 ,33.99 ,2.50, NA, NA, NA, 25.272,25.237,25.237,25.237,25.738
8, 48, 126.36, 190.96 ,75.19 ,3.33 ,33.74 ,2.52, NA, NA, NA, 25.273,25.237,25.237,25.237,25.738
8, 49, 99.35, 171.47 ,69.37 ,3.09 ,30.33 ,2.11, NA, NA, NA, 19.870,19.840,19.840,19.840,20.268
9, 50, 99.59, 172.90 ,69.37 ,3.09 ,30.33 ,2.11, NA, NA, NA, 19.919,19.888,19.888,19.888,20.316
9, 51, 99.83, 171.47 ,69.89 ,3.09 ,30.33 ,2.11, NA, NA, NA, 19.966,19.936,19.936,19.936,20.367
9, 52, 99.77, 171.47 ,69.37 ,3.11 ,30.33 ,2.11, NA, NA, NA, 19.956,19.925,19.925,19.925,20.357
9, 53, 99.68, 171.47 ,69.37 ,3.09 ,30.58 ,2.11, NA, NA, NA, 19.938,19.907,19.907,19.907,20.336
9, 54, 99.71, 171.47 ,69.37 ,3.09 ,30.33 ,2.13, NA, NA, NA, 19.943,19.913,19.913,19.913,20.341
9, 55, 83.26, 171.72 ,63.40 ,2.84 ,26.83 ,2.00, NA, NA, NA, 16.653,16.628,16.628,16.628,16.988
10, 56, 83.46, 173.15 ,63.40 ,2.84 ,26.83 ,2.00, NA, NA, NA, 16.694,16.668,16.668,16.668,17.028
10, 57, 83.70, 171.72 ,63.92 ,2.84 ,26.83 ,2.00, NA, NA, NA, 16.742,16.716,16.716,16.716,17.079
10, 58, 83.65, 171.72 ,63.40 ,2.86 ,26.83 ,2.00, NA, NA, NA, 16.732,16.706,16.706,16.706,17.068
10, 59, 83.58, 171.72 ,63.40 ,2.84 ,27.08 ,2.00, NA, NA, NA, 16.718,16.692,16.692,16.692,17.052
10, 60, 83.58, 171.72 ,63.40 ,2.84 ,26.83 ,2.02, NA, NA, NA, 16.717,16.692,16.692,16.692,17.051
10, 61, 79.88, 181.72 ,63.57 ,2.70 ,25.00 ,2.00, NA, NA, NA, 15.978,15.953,15.953,15.953,16.296
11, 62, 80.07, 183.15 ,63.57 ,2.70 ,25.00 ,2.00, NA, NA, NA, 16.015,15.991,15.991,15.991,16.334
11, 63, 80.30, 181.72 ,64.09 ,2.70 ,25.00 ,2.00, NA, NA, NA, 16.061,16.037,16.037,16.037,16.383
11, 64, 80.28, 181.72 ,63.57 ,2.72 ,25.00 ,2.00, NA, NA, NA, 16.056,16.032,16.032,16.032,16.378
11, 65, 80.22, 181.72 ,63.57 ,2.70 ,25.25 ,2.00, NA, NA, NA, 16.045,16.020,16.020,16.020,16.363
11, 66, 80.19, 181.72 ,63.57 ,2.70 ,25.00 ,2.02, NA, NA, NA, 16.039,16.015,16.015,16.015,16.358
11, 67, 78.11, 192.72 ,61.37 ,2.61 ,25.00 ,2.00, NA, NA, NA, 15.622,15.599,15.599,15.599,15.920
12, 68, 78.30, 194.15 ,61.37 ,2.61 ,25.00 ,2.00, NA, NA, NA, 15.660,15.637,15.637,15.637,15.958
12, 69, 78.51, 192.72 ,61.89 ,2.61 ,25.00 ,2.00, NA, NA, NA, 15.703,15.680,15.680,15.680,16.004
12, 70, 78.49, 192.72 ,61.37 ,2.63 ,25.00 ,2.00, NA, NA, NA, 15.698,15.675,15.675,15.675,15.999
12, 71, 78.46, 192.72 ,61.37 ,2.61 ,25.25 ,2.00, NA, NA, NA, 15.692,15.670,15.670,15.670,15.990
12, 72, 78.43, 192.72 ,61.37 ,2.61 ,25.00 ,2.02, NA, NA, NA, 15.686,15.664,15.664,15.664,15.984
12, 73, 77.02, 201.20 ,59.88 ,2.55 ,25.00 ,2.00, NA, NA, NA, 15.405,15.384,15.384,15.384,15.689
13, 74, 77.21, 202.63 ,59.88 ,2.55 ,25.00 ,2.00, NA, NA, NA, 15.443,15.422,15.422,15.422,15.727
13, 75, 77.42, 201.20 ,60.39 ,2.55 ,25.00 ,2.00, NA, NA, NA, 15.484,15.462,15.462,15.462,15.771
13, 76, 77.39, 201.20 ,59.88 ,2.57 ,25.00 ,2.00, NA, NA, NA, 15.479,15.458,15.458,15.458,15.766
13, 77, 77.39, 201.20 ,59.88 ,2.55 ,25.25 ,2.00, NA, NA, NA, 15.478,15.456,15.456,15.456,15.761
13, 78, 77.35, 201.20 ,59.88 ,2.55 ,25.00 ,2.02, NA, NA, NA, 15.472,15.450,15.450,15.450,15.755
13, 79, 76.17, 209.86 ,58.23 ,2.50 ,25.00 ,2.00, NA, NA, NA, 15.235,15.214,15.214,15.214,15.506
14, 80, 76.36, 211.29 ,58.23 ,2.50 ,25.00 ,2.00, NA, NA, NA, 15.273,15.253,15.253,15.253,15.544
14, 81, 76.56, 209.86 ,58.75 ,2.50 ,25.00 ,2.00, NA, NA, NA, 15.313,15.292,15.292,15.292,15.586
14, 82, 76.53, 209.86 ,58.23 ,2.52 ,25.00 ,2.00, NA, NA, NA, 15.307,15.286,15.286,15.286,15.580
14, 83, 76.55, 209.86 ,58.23 ,2.50 ,25.25 ,2.00, NA, NA, NA, 15.310,15.290,15.290,15.290,15.581
14, 84, 76.52, 209.86 ,58.23 ,2.50 ,25.00 ,2.02, NA, NA, NA, 15.304,15.283,15.283,15.283,15.575
14, 85, 75.71, 216.52 ,56.43 ,2.50 ,25.00 ,2.00, NA, NA, NA, 15.143,15.124,15.124,15.124,15.405
15, 86, 75.91, 217.95 ,56.43 ,2.50 ,25.00 ,2.00, NA, NA, NA, 15.182,15.162,15.162,15.162,15.444
15, 87, 76.10, 216.52 ,56.95 ,2.50 ,25.00 ,2.00, NA, NA, NA, 15.221,15.201,15.201,15.201,15.486
15, 88, 76.06, 216.52 ,56.43 ,2.52 ,25.00 ,2.00, NA, NA, NA, 15.213,15.193,15.193,15.193,15.477
15, 89, 76.10, 216.52 ,56.43 ,2.50 ,25.25 ,2.00, NA, NA, NA, 15.221,15.201,15.201,15.201,15.483
15, 90, 76.07, 216.52 ,56.43 ,2.50 ,25.00 ,2.02, NA, NA, NA, 15.214,15.194,15.194,15.194,15.476
15, 91, 75.27, 224.28 ,54.44 ,2.50 ,25.00 ,2.00, NA, NA, NA, 15.055,15.036,15.036,15.036,15.307
16, 92, 75.47, 225.71 ,54.44 ,2.50 ,25.00 ,2.00, NA, NA, NA, 15.094,15.075,15.075,15.075,15.346
16, 93, 75.66, 224.28 ,54.96 ,2.50 ,25.00 ,2.00, NA, NA, NA, 15.133,15.114,15.114,15.114,15.388
