1 	 1 	 0,20207 	 0,00000 	 0,00000 
1 	 2 	 -0,10104 	 0,00000 	 0,17500 
1 	 3 	 -0,10104 	 0,00000 	 -0,17500 
1 	 4 	 0,20207 	 0,08500 	 0,00000 
1 	 5 	 -0,10104 	 0,08500 	 0,17500 
1 	 6 	 0,20207 	 0,10000 	 0,00000 
1 	 7 	 -0,10104 	 0,10000 	 0,17500 
1 	 8 	 -0,10104 	 0,08500 	 -0,17500 
1 	 9 	 -0,10104 	 0,10000 	 -0,17500 
1 	 10 	 0,20207 	 0,39000 	 0,00000 
1 	 11 	 0,20207 	 0,40500 	 0,00000 
1 	 12 	 0,20207 	 0,42000 	 0,00000 
1 	 13 	 -0,10104 	 0,39000 	 0,17500 
1 	 14 	 -0,10104 	 0,40500 	 0,17500 
1 	 15 	 -0,10104 	 0,42000 	 0,17500 
1 	 16 	 -0,10104 	 0,39000 	 -0,17500 
1 	 17 	 -0,10104 	 0,40500 	 -0,17500 
1 	 18 	 -0,10104 	 0,42000 	 -0,17500 
1 	 19 	 0,20207 	 0,71000 	 0,00000 
1 	 20 	 0,20207 	 0,72500 	 0,00000 
1 	 21 	 -0,10104 	 0,71000 	 0,17500 
1 	 22 	 -0,10104 	 0,72500 	 0,17500 
1 	 23 	 -0,10104 	 0,71000 	 -0,17500 
1 	 24 	 -0,10104 	 0,72500 	 -0,17500 
1 	 25 	 0,20207 	 0,81000 	 0,00000 
1 	 26 	 -0,10104 	 0,81000 	 -0,17500 
1 	 27 	 -0,10104 	 0,81000 	 0,17500 
1 	 28 	 0,20207 	 0,89500 	 0,00000 
1 	 29 	 -0,10104 	 0,89500 	 0,17500 
1 	 30 	 0,20207 	 0,91000 	 0,00000 
1 	 31 	 -0,10104 	 0,91000 	 0,17500 
1 	 32 	 -0,10104 	 0,89500 	 -0,17500 
1 	 33 	 -0,10104 	 0,91000 	 -0,17500 
1 	 34 	 0,20207 	 1,20000 	 0,00000 
1 	 35 	 0,20207 	 1,21500 	 0,00000 
1 	 36 	 0,20207 	 1,23000 	 0,00000 
1 	 37 	 -0,10104 	 1,20000 	 0,17500 
1 	 38 	 -0,10104 	 1,21500 	 0,17500 
1 	 39 	 -0,10104 	 1,23000 	 0,17500 
1 	 40 	 -0,10104 	 1,20000 	 -0,17500 
1 	 41 	 -0,10104 	 1,21500 	 -0,17500 
1 	 42 	 -0,10104 	 1,23000 	 -0,17500 
1 	 43 	 0,20207 	 1,52000 	 0,00000 
1 	 44 	 0,20207 	 1,53500 	 0,00000 
1 	 45 	 -0,10104 	 1,52000 	 0,17500 
1 	 46 	 -0,10104 	 1,53500 	 0,17500 
1 	 47 	 -0,10104 	 1,52000 	 -0,17500 
1 	 48 	 -0,10104 	 1,53500 	 -0,17500 
1 	 49 	 0,20207 	 1,62000 	 0,00000 
1 	 50 	 -0,10104 	 1,62000 	 -0,17500 
1 	 51 	 -0,10104 	 1,62000 	 0,17500 
1 	 52 	 0,20207 	 1,70500 	 0,00000 
1 	 53 	 -0,10104 	 1,70500 	 0,17500 
1 	 54 	 0,20207 	 1,72000 	 0,00000 
1 	 55 	 -0,10104 	 1,72000 	 0,17500 
1 	 56 	 -0,10104 	 1,70500 	 -0,17500 
1 	 57 	 -0,10104 	 1,72000 	 -0,17500 
1 	 58 	 0,20207 	 2,01000 	 0,00000 
1 	 59 	 0,20207 	 2,02500 	 0,00000 
1 	 60 	 0,20207 	 2,04000 	 0,00000 
1 	 61 	 -0,10104 	 2,01000 	 0,17500 
1 	 62 	 -0,10104 	 2,02500 	 0,17500 
1 	 63 	 -0,10104 	 2,04000 	 0,17500 
1 	 64 	 -0,10104 	 2,01000 	 -0,17500 
1 	 65 	 -0,10104 	 2,02500 	 -0,17500 
1 	 66 	 -0,10104 	 2,04000 	 -0,17500 
1 	 67 	 0,20207 	 2,33000 	 0,00000 
1 	 68 	 0,20207 	 2,34500 	 0,00000 
1 	 69 	 -0,10104 	 2,33000 	 0,17500 
1 	 70 	 -0,10104 	 2,34500 	 0,17500 
1 	 71 	 -0,10104 	 2,33000 	 -0,17500 
